Timestamp,Household_ID,Region,Energy_Consumption_kWh,Voltage_V,Current_A,Solar_Generation_kWh,EV_Charging_kWh,Temperature_C,Humidity_Percent,Grid_Load_Percent,Fault_Flag,Maintenance_Status,Electricity_Cost_EUR
1/1/2025 0:00,HH_603,North,2.8,235.78,32,0.02,2.15,11.85,25.23,82.66,0,Good,0.94
1/1/2025 1:00,HH_240,South,5.77,239.28,12.07,0.75,2.82,37.78,65.1,93.7,0,Good,4.85
1/1/2025 2:00,HH_183,East,1.52,236.34,20.88,3.78,0.9,27.94,27.79,91.2,0,Good,1.98
1/1/2025 3:00,HH_310,West,3.3,235.74,14.2,0.65,1.33,21.94,74.01,52.03,0,Good,4.71
1/1/2025 4:00,HH_259,North,4.5,238.61,31.17,5.23,5.3,2.02,61.51,49.54,0,Good,1.91
1/1/2025 5:00,HH_460,South,3.5,239.31,9.9,2.86,4.39,2.02,37.44,82.19,0,Good,0.52
1/1/2025 6:00,HH_431,North,1.63,238.18,38.59,3.17,5.47,-2.39,79.59,92.09,0,Good,3.22
1/1/2025 7:00,HH_500,North,4.47,240.15,16.6,2.44,4.64,33.98,72.47,80.1,0,Good,4.7
1/1/2025 8:00,HH_798,South,2.14,244.14,28.75,4.55,6.11,22.05,66.97,66.52,0,Good,3.54
1/1/2025 9:00,HH_76,North,2.13,243.82,26.02,4.57,6.63,26.86,36.04,64.57,0,Warning,0.3
1/1/2025 10:00,HH_297,North,1.12,241.91,29.96,3.67,0,-4.07,72.99,57.09,0,Good,1.35
1/1/2025 11:00,HH_362,West,2.66,239.59,22.49,4.13,1.44,38.65,60.55,56.37,0,Good,2.9
1/1/2025 12:00,HH_183,West,4.7,238.03,15.97,2.58,3.31,32.46,60.07,24.52,0,Good,0.13
1/1/2025 13:00,HH_59,West,2.18,241.47,8,4.08,3.93,4.56,28.96,37.23,0,Warning,2.73
1/1/2025 14:00,HH_552,North,3.21,244.93,21.26,2.32,1.99,3.18,30.14,31.5,0,Good,4.03
1/1/2025 15:00,HH_557,North,1.79,246.55,3.37,3,6.74,3.25,22.42,57.55,0,Good,4.94
1/1/2025 16:00,HH_406,West,2.67,233.68,3.29,2.45,9.94,8.69,38.41,43.12,0,Good,2.72
1/1/2025 17:00,HH_527,North,1.43,239.59,24.92,2.09,4.56,18.61,57.01,50.27,0,Good,3.43
1/1/2025 18:00,HH_732,South,2.09,235.56,19.74,1.62,4.25,14.44,46.92,97.72,0,Warning,0.85
1/1/2025 19:00,HH_785,South,2.86,232.69,20.74,3.94,6.55,8.11,73.47,81.15,0,Good,0.68
1/1/2025 20:00,HH_187,North,1.99,245.74,13.43,5.62,0,22.53,50.56,31.17,0,Good,3.25
1/1/2025 21:00,HH_876,North,4.17,246.25,31.83,5.34,4.09,1.28,26.99,84.72,0,Good,0.88
1/1/2025 22:00,HH_25,East,3.4,239.02,8.85,0.49,6.94,8.15,74.35,55.38,0,Good,3.84
1/1/2025 23:00,HH_299,South,0.38,237.7,23.86,5.58,2.07,11.49,33.81,88.35,0,Good,3.5
1/2/2025 0:00,HH_192,North,0.91,238.12,34.56,2.36,0.32,15.52,43.63,80.78,0,Good,1.92
1/2/2025 1:00,HH_691,East,4.7,231.19,33.53,4.2,3.44,30.33,57.55,61.49,0,Good,3.37
1/2/2025 2:00,HH_573,South,3.72,245.46,2.12,1.19,3.82,3.99,61.56,77.57,0,Critical,1.92
1/2/2025 3:00,HH_941,East,3.09,237.59,11.88,3.28,1.27,18.14,42.12,94.97,0,Good,3.13
1/2/2025 4:00,HH_131,West,3.1,238.85,28.87,3.63,10.29,21.66,54.55,63.07,0,Good,3.33
1/2/2025 5:00,HH_761,East,1.61,241.49,29.89,0.03,2.56,-2.91,25,31.92,0,Good,3.58
1/2/2025 6:00,HH_676,West,0.58,229.77,19.83,4.22,0.54,22.34,32.01,65.46,0,Good,2.68
